,Isotope,Decay Energy (keV),Half-life (seconds)
559,119Cd,146.54,132.0
560,119Cd,228.27,4.3e-08
561,119In,311.37,1080.0
562,119In,654.27,1.3e-07
563,119In,2656.9,2.4000000000000003e-07
564,119Sn,23.871,1.8030000000000003e-08
565,119Sn,89.531,25323840.000000004
566,119Sn,2127.0,9.6e-06
567,119Sn,3103.3,3.4e-08
568,119Sb,2553.6,1.3e-07
569,119Te,260.96,406080.0
570,119I,306.66,3.4600000000000005e-08
571,119Xe,176.08,2e-08
572,119Xe,243.39,2.7e-08
573,119Xe,245.99,7e-08
574,120Rh,157.2,2.9399999999999996e-07
575,120Sn,2481.63,1.18e-05
576,120Sn,2902.22,6.259999999999999e-06
577,120Sn,4891.1,3.0000000000000004e-08
578,120Sb,78.16,2.46e-07
579,120I,25.07,1.3600000000000001e-08
580,120I,72.3,2.44e-07
581,120I,72.0,3180.0
582,121Pd,135.5,4.6e-07
583,121Cd,214.86,8.3
584,121Cd,314.5,1.9e-08
585,121In,313.68,232.79999999999998
586,121Sn,6.31,1384430400.0
587,121Sn,1998.3,5.299999999999999e-06
588,121Sn,2221.1,5e-07
589,121Sn,2832.7,1.67e-07
590,121Te,293.974,14186879.999999998
591,121Te,443.11,8.53e-08
592,121I,2353.0,8e-08
593,121I,2376.9,9e-06
594,121Xe,153.99,8e-08
595,121Cs,68.5,122.0
596,122Rh,271.0,8.199999999999999e-07
597,122Sn,2409.03,7.499999999999999e-06
598,122Sn,2765.3,6.2e-05
599,122Sn,4478.7,4e-08
600,122Sn,4721.2,1.34e-07
601,122Sb,61.4131,1.86e-06
602,122Sb,137.4726,0.0005300000000000001
603,122Sb,163.5591,251.45999999999998
604,122I,155.7,1.6e-08
605,122I,315.0,1.9e-07
606,122I,379.5,7.999999999999999e-05
607,122I,393.9,8.099999999999999e-05
608,122I,444.2,1.48e-07
609,122Cs,45.87,1e-06
610,122Cs,127.07,0.36
611,122Cs,135.0,222.0
612,123Ag,1472.8,3.9300000000000004e-07
613,123Cd,263.867,8e-08
614,123Cd,144.0,1.82
615,123In,327.21,47.4
616,123In,2078.1,1.4e-06
617,123Sn,24.6,2403.6000000000004
618,123Sn,1945.0,7.4e-06
619,123Sn,2153.0,6e-06
620,123Sn,2713.0,3.4e-05
621,123Sb,2037.5,3.7299999999999997e-08
622,123Sb,2237.8,2.14e-07
623,123Sb,2613.4,6.5e-05
624,123Te,247.47,10298880.0
625,123Te,489.81,3.0700000000000004e-08
626,123I,2659.9,2.7200000000000002e-08
627,123Xe,185.18,5.49e-06
628,123Xe,206.24,1.1800000000000001e-08
629,123Cs,156.27,1.64
630,123Ba,92.5,4e-08
631,123Ba,120.95,8.299999999999999e-07
632,124Ag,155.6,1.4e-07
633,124Ag,231.1,1.46e-06
634,124In,242.68,5.0000000000000004e-08
635,124Sn,2204.62,2.7e-07
636,124Sn,2325.01,3.1e-06
637,124Sn,2656.6,4.4999999999999996e-05
638,124Sn,4551.4,2.6e-07
639,124Sb,10.8627,93.0
640,124Sb,36.844,1212.0
641,124Sb,40.8038,3.2e-06
642,124Sb,125.2291,8.6e-08
643,124I,55.2,6.2e-08
644,124I,122.8,1e-08
645,124I,249.8,1.4000000000000001e-08
646,124I,286.8,1e-08
647,124I,689.1,1.4000000000000001e-08
648,124Cs,301.14,6.900000000000001e-08
649,124Cs,462.63,6.41
650,125Ag,1500.8,4.7400000000000004e-07
651,125Cd,186.0,0.48
652,125In,360.12,12.2
653,125In,2009.4,9.4e-06
654,125In,2161.2,0.005
655,125Sn,27.5,571.1999999999999
656,125Sn,1892.8,6.2e-06
657,125Sn,2059.5,6e-07
658,125Sn,2623.5,2.3e-07
659,125Sb,1971.25,4.1e-06
660,125Sb,2112.1,2.8e-05
661,125Sb,2325.0,3.1e-08
662,125Sb,2471.0,2.72e-07
663,125Te,144.775,4959360.0
664,125Xe,252.61,57.0
665,125Xe,295.89,1.4e-07
666,125Cs,84.82,1.45e-08
667,125Cs,266.1,0.0009000000000000001
668,125La,107.0,0.39
669,126Pd,2023.5,3.3e-07
670,126Pd,2109.7,4.3999999999999997e-07
671,126Pd,2406.4,0.023
672,126Ag,254.8,2.7e-05
673,126In,102.0,1.64
674,126In,243.3,2.2e-05
675,126Sn,2161.54,1.08e-08
676,126Sn,2218.99,6.5999999999999995e-06
677,126Sn,2564.5,7.699999999999999e-06
678,126Sn,4345.7,1.6e-07
679,126Sb,17.7,1149.0
680,126Sb,40.4,11.0
681,126Sb,104.6,5.53e-07
682,126Sb,127.9,7.800000000000001e-08
683,126Te,2974.4,1.07e-08
684,126I,56.4,2e-08
685,126I,111.0,1.28e-07
686,126I,122.2,1.1000000000000001e-08
687,126I,237.4,1.6e-08
688,126Cs,272.5,1e-06
689,126Cs,596.1,0.00017099999999999998
690,127In,408.9,3.67
691,127In,1863.0,1.04
692,127In,2364.0,9e-06
693,127Sn,5.07,247.79999999999998
694,127Sn,1826.67,4.519999999999999e-06
695,127Sn,1930.97,1.1899999999999998e-06
696,127Sn,2552.4,2.5e-07
697,127Sb,1920.19,1.1e-05
698,127Sb,2194.4,1.4000000000000001e-08
699,127Sb,2325.2,2.34e-07
700,127Te,88.23,9167040.0
701,127Xe,297.1,69.2
702,127Xe,342.23,3.6700000000000004e-08
703,127Xe,2729.97,2.5000000000000002e-08
704,127Cs,66.09,2.4880000000000002e-08
705,127Cs,452.23,5.4999999999999995e-05
706,127Ba,80.32,1.93
707,127Ba,81.29,7.500000000000001e-08
708,127La,14.2,222.0
709,127Ce,7.3,28.6
710,127Ce,36.8,9.999999999999999e-06
