,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
183,18,11.0,29.0,Na,NA,2679.994,7.337,7682.1522,0.2530,B-,13292.3538,7.3447,29.002877091,7.876
184,17,12.0,29.0,Mg,NA,-10612.36,0.345,8113.5317,0.0119,B-,7595.4023,0.4873,28.988607163,0.369
185,16,13.0,29.0,Al,x,-18207.762,0.345,8348.4647,0.0119,B-,3687.3192,0.3447,28.980453164,0.370
186,15,14.0,29.0,Si,NA,-21895.08154,0.00056,8448.6361,0.0002,B-,-4942.2325,0.3589,28.97649466434,0.00060
187,14,15.0,29.0,P,NA,-16952.849,0.359,8251.2368,0.0124,B-,-13858.4257,13.0459,28.981800368000002,0.385
188,13,16.0,29.0,S,x,-3094.423,13.041,7746.3826,0.4497,B-,-17117.0,189#,28.996678,14.000
189,12,17.0,29.0,Cl,-p,14022#,189#,7129#,7#,B-,-23947.0,478#,29.015053,203#
190,11,18.0,29.0,Ar,-pp,37969#,439#,6276#,15#,B-,*,NA,29.040761,471#
191,21,9.0,30.0,F,x,48960#,500#,6205#,17#,B-,25680.0,561#,30.052561,537#
192,20,10.0,30.0,Ne,NA,23280.12,253.250,7034.5317,8.4417,B-,14805.4501,253.2946,30.024992235,271.875
193,19,11.0,30.0,Na,NA,8474.67,4.727,7501.9685,0.1576,B-,17356.0423,4.9011,30.009097931,5.074
194,18,12.0,30.0,Mg,NA,-8881.373,1.295,8054.4250,0.0432,B-,6982.744,2.3287,29.990465454,1.390
195,17,13.0,30.0,Al,NA,-15864.116,1.936,8261.1049,0.0645,B-,8568.8459,1.9357,29.982969171,2.077
196,16,14.0,30.0,Si,-n,-24432.962,0.022,8520.6549,0.0008,B-,-4232.1065,0.0615,29.973770137,0.023
197,15,15.0,30.0,P,-,-20200.856,0.065,8353.5064,0.0022,B-,-6141.6014,0.1956,29.97831349,0.069
198,14,16.0,30.0,S,-,-14059.254,0.206,8122.7081,0.0069,B-,-18733.802,23.8769,29.98490677,0.221
199,13,17.0,30.0,Cl,-p,4674.548,23.876,7472.1698,0.7959,B-,-17397.0,180#,30.005018333,25.631
200,12,18.0,30.0,Ar,-pp,22071#,179#,6866#,6#,B-,*,NA,30.023694,192#
201,22,9.0,31.0,F,-nn,56843#,535#,6011#,17#,B-,25661.0,597#,31.061023,574#
202,21,10.0,31.0,Ne,NA,31181.594,266.195,6813.0902,8.5869,B-,18935.5625,266.5617,31.033474816,285.772
203,20,11.0,31.0,Na,x,12246.031,13.972,7398.6778,0.4507,B-,15368.1833,14.3065,31.013146654,15.000
204,19,12.0,31.0,Mg,x,-3122.152,3.074,7869.1886,0.0992,B-,11828.5569,3.8009,30.996648232,3.300
205,18,13.0,31.0,Al,x,-14950.709,2.236,8225.5180,0.0721,B-,7998.3286,2.2360,30.983949754,2.400
206,17,14.0,31.0,Si,-n,-22949.037,0.043,8458.2916,0.0014,B-,1491.5071,0.0434,30.975363196,0.046
207,16,15.0,31.0,P,NA,-24440.54442,0.00075,8481.1677,0.0002,B-,-5398.013,0.2292,30.97376199768,0.00080
208,15,16.0,31.0,S,NA,-19042.531,0.229,8281.8013,0.0074,B-,-12007.979,3.4541,30.979557002,0.246
209,14,17.0,31.0,Cl,--,-7034.552,3.447,7869.2101,0.1112,B-,-18360.0,200#,30.992448097,3.700
210,13,18.0,31.0,Ar,-,11325#,200#,7252#,6#,B-,-22935.0,361#,31.012158,215#
211,12,19.0,31.0,K,x,34260#,300#,6487#,10#,B-,*,NA,31.03678,322#
