,Isotope,Residuals (W/g),Power density (W/g),Half life (years),Half life (log(years))
1837,43V,-0.2915442499891277,6382717.974320284,2.5128653636524957e-09,-19.80184215576429
1838,110Tc,-5.15090635907414,1340219.1836125548,2.8519279032626053e-08,-17.372685521080783
1839,196Bi,-2615.733608297458,3150.325532907103,9.75359342915811e-06,-11.537874784018177
1840,79Ni,-1.3724579823439638,3474692.812426992,1.3942758638172737e-09,-20.39089065048683
1841,223Po,-60.38275624823264,134297.69536086885,1.9012852688417367e-07,-15.475565536194901
1842,157Pm,-73.21382877334304,111078.5258662821,3.346262073161457e-07,-14.910251727144841
1843,255Es,-37991193.92200673,0.2169861389187435,0.10896646132785762,-2.216715138340417
1844,152Tm,-53.99940962605788,149884.56703596943,2.535047025122316e-07,-15.18788346374312
1845,99Kr,-1.9730799167901876,2772734.9851851864,1.2675235125611579e-09,-20.486200830291157
1846,96Br,-1.88298650005867,2859383.0386884767,6.337617562805789e-10,-21.1793480108511
1847,129Cd,-2.9090274230771036,2108852.613918594,4.658148908662255e-09,-19.184647697626357
1848,215Hg,-8.425551063787667,874597.4260016297,1.9012852688417368e-08,-17.778150629188946
1849,137Eu,-50.944672380472376,158698.9063797547,2.661799376378432e-07,-15.139093299573688
1850,59Cr,-0.7718371429166321,4652551.015758613,1.5844043907014474e-09,-20.263057278976948
1851,268Sg,-1396.3836021449074,5899.283980706657,3.802570537683474e-06,-12.47983326264091
1852,107Nb,-2.525717206796615,2338123.625781526,9.062793114812279e-09,-18.519088473585242
1853,156Sm,-10410.362517405043,791.7851948056328,0.0010723248916267396,-6.837926191702796
1854,199Fr,-4.976190765746612,1379400.8628848945,2.0914137957259106e-10,-22.288010635372714
1855,74Zn,-306.61605626118813,26798.219830359696,3.029381195021167e-06,-12.7071521853656
1856,135Sn,-4.480877272110675,1504058.9835833043,1.6319365224224907e-08,-17.930913383741355
1857,151La,-4.852949533301417,1408445.8873483143,1.4734960833523461e-08,-18.033042878817735
1858,245Bk,-2414124.1534078587,3.414720519936065,0.013552361396303902,-4.3011944740502095
1859,130Ce,-7739.7945376346515,1064.9504594078264,4.3539432656475775e-05,-10.04184353264066
1860,171Os,-63.095606209643314,128613.53822089844,2.630111288564403e-07,-15.151069490620404
1861,199Au,-197961.5207365063,41.642037433984946,0.008594113620807666,-4.756677772770992
1862,168Sm,-4.800457557760481,1421191.7968447995,1.0773949856769842e-08,-18.346134666794885
1863,147Dy,-427.9262325069144,19219.068628316472,2.1231018835399397e-06,-13.06263238603199
1864,125Pd,-2.7539247563082334,2195985.0647466574,1.901285268841737e-09,-20.080735722182993
1865,226Po,-589.8969828794221,13950.930429302582,1.901285268841737e-06,-13.172980443200855
1866,256Md,-51710.8927773612,159.41328495801145,0.00014772986538900295,-8.820125185827253
1867,45K,-62.719143187580336,129373.4078433495,3.384287778538292e-05,-10.293781985902816
1868,123Ag,-3.079966698786338,2020497.5451117817,9.31629781732451e-09,-18.491500517066413
1869,131Ce,-3508.5320626558487,2348.906507153343,1.9583238269069892e-05,-10.840836547965266
1870,107Y,-2.213328706509221,2565427.770379258,1.0615509417699698e-09,-20.663534845574073
1871,156Ce,-3.9368991898641585,1669785.503410784,7.383324460668745e-09,-18.724041830839393
1872,46Ar,-16.441276857676858,472646.7429136172,2.661799376378432e-07,-15.139093299573688
1873,68As,-446.6581477034404,18414.86129835108,4.803914112606788e-06,-12.246079532214685
1874,204Fr,-17.732145289201373,440075.7399521041,5.5454153674550656e-08,-16.707709217487533
1875,146Er,-12.094283755631231,629554.304219996,5.3869749283849206e-08,-16.736696754360786
1876,99Cd,-73.41384941919848,110779.95243327391,5.386974928384921e-07,-14.43411166136674
1877,131Cs,-7881850.258412921,1.0458916856920653,0.02652703627652293,-3.6295908292279417
1878,92Nb,-4364828.876468491,1.8886332187831663,0.0347,-3.3610155920293234
1879,250Es,-3874.127167875914,2127.3012063638125,0.0009810631987223362,-6.926873677719293
1880,141Ce,-750926.3248304401,10.977843562820167,0.08899383983572896,-2.4191881269743765
1881,90Nb,-3703.4538357025717,2225.311223907363,0.0016655258955053617,-6.397614352264464
1882,66As,-0.9834793774429952,4156112.1294151363,3.034768169949552e-09,-19.613130800871566
1883,107Cd,-4351.993489024216,1893.7686720233357,0.0007415012548482775,-7.206833704077163
1884,133In,-3.0517926055951574,2034547.0515080176,5.1651583136867184e-09,-19.08133008359833
1885,279Cn,-7.378679515795502,983873.7337422724,1.901285268841737e-12,-26.98849100116513
1886,293Og,-7.799115047054058,936862.7020958839,3.168808781402895e-11,-24.175080284405094
1887,278Ds,-8.042666173190955,911629.661114278,8.555783709787816e-09,-18.57665832540672
1888,168Re,-33.61519998352599,238148.63710043213,1.394275863817274e-07,-15.78572046449874
1889,24Si,0.27351136357257383,11347132.337229779,4.537734174968945e-09,-19.21083802987855
1890,133Xe,-4333849.7151445085,1.9021335160966062,0.014366598220396988,-4.242849334793402
1891,142Xe,-8.898691337070236,832793.1863239108,3.89763480112556e-08,-17.06031083603863
1892,197Tl,-1844.897959330863,4465.882123854724,0.00032397900981063197,-8.03483182880564
1893,158Tm,-1636.0708254727042,5035.556538401622,7.567115369990113e-06,-11.791698623904509
1894,102Rh,-188167470.36388168,0.04380971184490259,0.5667351129363449,-0.5678632573654399
1895,93Ag,-1.7928931719318344,2951621.201226817,7.2248840215986e-15,-32.56124521341493
1896,253No,-1035.36844826547,7954.277952819336,2.985017872081527e-06,-12.721904823840639
1897,225Fr,-2312.7248358582547,3562.896750415761,7.510076811924861e-06,-11.799264864287824
1898,201Au,-3360.611193844277,2452.2653643381136,4.943341698988516e-05,-9.914883905179373
1899,258Db,-27.33624914351812,290919.3329464115,6.876315055644282e-08,-16.492597837870587
1900,153Gd,-167180700.1406365,0.0493092961256391,0.6587268993839835,-0.4174462470902304
1901,110I,-4.098504335786639,1616859.0151377663,2.104089030851522e-08,-17.67679813492866
1902,96Pd,-507.87383807481604,16199.619792251187,3.865946713311531e-06,-12.4633039606897
1903,36Si,-0.44549362126426634,5702939.520290364,1.5939108170456562e-08,-17.954490114305354
1904,62Fe,-182.59383450330432,44901.08680031545,2.1547899713539685e-06,-13.04781730024685
1905,118Cs,-72.36056580618444,112370.48962810301,4.4363322939640525e-07,-14.628267675807697
